Crop ,scientific name,family,a_siopa,Cultivar_a,a_seed_set,Cultivar_b,b_ovules,Cultivar,Honeybee,Bumblebee,Other wild bee,Hoverfly,Other,Reference DOI_a,Reference DOI_b,Reference DOI_c
watermelon,Citrullus lanatus,Cucurbitaceae,0.87,Royal Jubilee,0,Unknown,400,Royal Jubilee,160,230,NA,NA,NA,https://doi.org/10.21273/HORTSCI.33.1.0028,https://doi.org/10.1016/j.scienta.2020.109493,https://doi.org/10.21273/HORTSCI.33.1.0028. similar numbers in https://doi.org/10.1111/1365-2664.12574
highbush blueberry,Vaccinium corymbosum,Ericaceae,0.53,O'Neal,7,Bluecrop,106,O'Neal,12,20,18,NA,NA,https://doi.org/10.1603/EN12303,https://doi.org/10.2307/2656734,https://doi.org/10.1603/EN12303
apple,Malus domestica,Rosaceae,0.73,Breaburn and Brampley,0.615,Gala,10,Breaburn and Brampley,5.8,5.8,6.1,0.8,NA,http://dx.doi.org/10.17864/1947.50 ,NA,http://dx.doi.org/10.17864/1947.50 
oilseed rape,Brassica napus,Brassicaceae,0.27,Hyola 61,6,Tamarin,42,Hyola 61,12,NA,11,NA,NA,https://doi.org/10.1093/jee/tov096,https://dx.doi.org/10.1111/1365-2664.13153,https://doi.org/10.1093/jee/tov096
strawberry,Fragaria × ananassa,Rosaceae,0.54,Tyonoka,65,Red Face,350,Tyonoka,78,NA,53,90,79,https://doi.org/10.1371/journal.pone.0297130,https://doi.org/10.3390/agronomy13030731,https://doi.org/10.1371/journal.pone.0297130
lima bean,Phaseolus lunatus ,Fabaceae,NA,Unknown,3,KKL-1,7,Unknown,NA,NA,6.4,NA,NA,"Extremely variable, from 0 to 5 depending on cultivar.",https://doi.org/10.18805/LR-5184,https://doi.org/10.5897/JAERD11.151
faba bean,Vicia faba,Fabaceae,0.05,Tiffany,0.97,Various,7.5,Tiffany,1.8,1.66,3.4,NA,NA,https://doi.org/10.1016/j.baae.2023.05.006,"Variable among cultivars, from 3 to 12.",https://doi.org/10.1016/j.baae.2023.05.006 / http://dx.doi.org/10.1016/j.biocon.2013.11.001
avocado,Persea americana,Lauraceae,0.86,"Hass, other",0.2,NA,1,NA,NA,NA,NA,NA,0.3,https://doi:10.1111/jen.12869,NA,https://doi.org/10.1111/jen.12869 (Nacho guesstimate)
cherry,Prunus avium,Rosaceae,0.82,"Kordia, Regina",0.1,General source,1,"Kordia, Regina",0.1,0,0.25,0.1,NA,https://doi.org/10.1016/j.biocon.2012.04.032,https://doi.org/10.1079/9781780648378.0000 ,https://doi.org/10.1111/afe.12363
sunflower,Helianthus annuus,Asteraceae,0.54,Multiple,813,NA,1500,NA,800,900,1000,NA,NA,https://www.pnas.org/doi/10.1073/pnas.2212124120,Extremely variable across cultivars,guesstimate by Nacho
almond,Prunus dulcis,Rosaceae,0.84,Nonpareil,0.02,NA,1,Ferregnas,0.14,NA,0.25,NA,NA,https://doi.org/10.1111/plb.12180,NA,https://doi.org/10.1303/aez.29.1
pear,Pyrus communis,Rosaceae,0.74,Abate fètel,1,NA,10,NA,NA,NA,7,NA,NA,NA,NA,guesstimate by Nacho
white clover,Trifolium repens,Fabaceae,NA,NA,0.5,"Tribute, Triffad",6,"Tribute, Triffad",1.24,NA,NA,NA,NA,NA,https://doi.org/10.1080/01140671.2010.520164,https://doi.org/10.1080/01140671.2010.520164
pumpkin,Cucurbita pepo,Cucurbitaceae,1,Mystic Plus,0,NA,600,Mystic Plus,63.65,113,38.92,NA,NA,https://doi.org/10.1603/EC10431,NA,https://doi.org/10.1603/EC10431
melons,Cucumis melo,Cucurbitaceae,1,NA,0,NA,500,Not mentioned,222.8,NA,274.2,NA,NA,NA,NA,https://doi.org/10.1016/j.scienta.2016.04.006
peppers,Capsicum annuum,Solanaceae,0.48,Maya,19.3,NA,240,Maya,35.2,NA,51.52,NA,NA,https://doi.org/10.1111/j.1439-0418.2009.01399.x,NA,https://doi.org/10.1111/j.1439-0418.2009.01399.x
eggplant,Solanum melongena,Solanaceae,0.83,NA,0,NA,1500,NA,NA,NA,NA,NA,300,NA,NA,guesstimate by Nacho
raspberry,Rubus idaeus,Rosaceae,0.55,"Cowichan, Latham, Royalty",18.77,General,120,"Cowichan, Latham, Royalty",41.15,40.96,40.41,NA,NA,https://doi.org/10.1093/jee/toy226,https://doi.org/10.1093/jee/toy226,https://doi.org/10.1093/jee/toy226
blackberry,Rubus fruticosus,Rosaceae,0.45,NA,0,NA,120,NA,NA,NA,NA,NA,50,NA,NA,guesstimate by Nacho
buckwheat,Fagopyrum esculentum,Polygonaceae,0.49,Kitawasesoba,0.04,NA,1,NA,NA,NA,NA,NA,0.5,https://doi.org/10.1080/1343943X.2017.1375380,NA,guesstimate by Nacho
red clover,Trifolium pratense,Fabaceae,NA,mean accross 8 varieties,0.8,NA,2,NA,NA,NA,NA,NA,1.25,doi: 10.3389/fpls.2021.720069,NA,guesstimate by Nacho (check https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecs2.3416)
kiwi,Actinidia deliciosa,Actinidiaceae,0.59,"Golden Sunshine, Gulf Coast Gold",45.38,General,1400,NA,NA,NA,NA,NA,200,https://doi.org/10.1093/jee/toab075,https://doi.org/10.1016/B978-0-12-394294-4.00002-X,guesstimate by Nacho
lupine,Lupinus spp.,Fabaceae,NA,Vladimir,1.5,Vladimir,4,NA,NA,NA,NA,NA,2,https://doi.org/10.1017/S0021859600073937,https://doi.org/10.1017/S0021859600073937,https://doi.org/10.1016/j.agee.2021.107386 (guesstimate by Nacho)
"chickpeas, lentils","Cicer arietinum, Lens culinaris",Fabaceae,0.27,NA,3,NA,3,NA,NA,NA,NA,NA,3,NA,NA,guesstimate by Nacho
tomato,Solanum lycopersicum,Solanaceae,0.27,Saladette,52.5,NA,400,Saladette,91.2,NA,132.99,NA,NA,https://doi.org/10.1111/j.1439-0418.2009.01399.x,NA,https://doi.org/10.1111/j.1439-0418.2009.01399.x
lowbush blueberry,Vaccinium angustifolium,Ericaceae,NA,NA,5,NA,65,NA,NA,NA,NA,NA,15,NA,NA,guesstimate by Nacho
rabbiteye blueberry,Vaccinium ashei / virgatum,Ericaceae,0.79,NA,5,NA,80,NA,NA,NA,NA,NA,15,NA,NA,guesstimate by Nacho
